timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,ex,ey,ez
1748836690313,-62,25,-1074,24,14,20,24,20,36,44.64949417114258,3.3403353691101074,178.62579345703125
1748836690313,-62,25,-1074,24,14,20,24,20,36,44.642948150634766,3.3298428058624268,178.62393188476562
1748836690414,-61,25,-1074,25,12,21,24,20,36,44.642948150634766,3.3298428058624268,178.62393188476562
1748836690414,-61,25,-1074,25,12,21,24,20,36,44.640865325927734,3.320819854736328,178.61891174316406
1748836690529,-61,25,-1072,24,14,20,24,20,36,44.640865325927734,3.320819854736328,178.61891174316406
1748836690529,-61,25,-1072,24,14,20,24,20,36,44.63582229614258,3.3080453872680664,178.61729431152344
1748836690638,-62,24,-1074,25,13,20,24,20,36,44.63582229614258,3.3080453872680664,178.61729431152344
1748836690638,-62,24,-1074,25,13,20,24,20,36,44.60847473144531,3.327427864074707,178.62481689453125
1748836690747,-62,24,-1074,25,13,20,24,20,36,44.58934783935547,3.35980224609375,178.63600158691406
1748836690747,-62,25,-1074,25,12,21,24,20,36,44.58934783935547,3.35980224609375,178.63600158691406
1748836690853,-62,24,-1074,24,14,20,24,20,36,44.58934783935547,3.35980224609375,178.63600158691406
1748836690853,-62,24,-1074,24,14,20,24,20,36,44.60689926147461,3.3138856887817383,178.6139678955078
1748836690950,-62,25,-1074,25,13,21,24,20,36,44.60689926147461,3.3138856887817383,178.6139678955078
1748836690950,-62,25,-1074,25,13,21,24,20,36,44.579612731933594,3.3362510204315186,178.62750244140625
1748836691041,-61,25,-1075,26,11,22,24,20,36,44.579612731933594,3.3362510204315186,178.62750244140625
1748836691042,-61,25,-1075,26,11,22,24,20,36,44.57841491699219,3.3269968032836914,178.61904907226562
1748836691134,-63,25,-1072,25,13,21,24,20,36,44.57841491699219,3.3269968032836914,178.61904907226562
1748836691134,-63,25,-1072,25,13,21,24,20,36,44.57515335083008,3.3150432109832764,178.6198272705078
1748836691240,-62,24,-1073,24,14,20,24,20,36,44.57515335083008,3.3150432109832764,178.6198272705078
1748836691240,-62,24,-1073,24,14,20,24,20,36,44.570220947265625,3.3064932823181152,178.6250762939453
1748836691329,-64,25,-1074,25,13,20,24,20,36,44.570220947265625,3.3064932823181152,178.6250762939453
1748836691329,-64,25,-1074,25,13,20,24,20,36,44.52785873413086,3.3529324531555176,178.6468048095703
1748836691429,-62,24,-1073,25,12,21,24,20,36,44.52785873413086,3.3529324531555176,178.6468048095703
1748836691429,-62,24,-1073,25,12,21,24,20,36,44.520179748535156,3.3496241569519043,178.64462280273438
1748836691545,-61,25,-1073,26,11,22,24,20,36,44.520179748535156,3.3496241569519043,178.64462280273438
1748836691545,-61,25,-1073,26,11,22,24,20,36,44.48408508300781,3.3816633224487305,178.66818237304688
1748836691649,-62,25,-1074,25,12,21,24,20,36,44.48408508300781,3.3816633224487305,178.66818237304688
1748836691649,-62,25,-1074,25,12,21,24,20,36,44.47238540649414,3.3693883419036865,178.669921875
1748836691757,-63,24,-1074,24,14,20,24,20,36,44.47238540649414,3.3693883419036865,178.669921875
1748836691757,-63,24,-1074,24,14,20,24,20,36,44.46284484863281,3.363865852355957,178.66563415527344
1748836691850,-62,25,-1074,25,13,20,24,20,36,44.46284484863281,3.363865852355957,178.66563415527344
1748836691850,-62,25,-1074,25,13,20,24,20,36,44.448814392089844,3.3642895221710205,178.6626434326172
1748836691953,-62,26,-1074,25,13,20,24,20,36,44.448814392089844,3.3642895221710205,178.6626434326172
1748836691953,-62,26,-1074,25,13,20,24,20,36,44.44196319580078,3.3515937328338623,178.65261840820312
1748836692053,-61,24,-1074,26,11,22,24,20,36,44.44196319580078,3.3515937328338623,178.65261840820312
1748836692053,-61,24,-1074,26,11,22,24,20,36,44.41246795654297,3.3627078533172607,178.66522216796875
1748836692171,-62,25,-1075,25,12,21,24,20,36,44.41246795654297,3.3627078533172607,178.66522216796875
1748836692171,-62,25,-1075,25,12,21,24,20,36,44.39738845825195,3.3602042198181152,178.66531372070312
1748836692289,-63,25,-1074,26,12,21,24,20,36,44.39738845825195,3.3602042198181152,178.66531372070312
1748836692289,-63,25,-1074,26,12,21,24,20,36,44.37329864501953,3.38710355758667,178.6678009033203
1748836692378,-61,25,-1073,24,14,20,24,20,36,44.37329864501953,3.38710355758667,178.6678009033203
1748836692378,-61,25,-1073,24,14,20,24,20,36,44.366722106933594,3.363574504852295,178.6561279296875
1748836692493,-62,25,-1074,25,13,21,24,20,36,44.366722106933594,3.363574504852295,178.6561279296875
1748836692493,-62,25,-1074,25,13,21,24,20,36,44.36042022705078,3.354471206665039,178.6483154296875
1748836692593,-62,25,-1073,24,14,20,24,20,36,44.36042022705078,3.354471206665039,178.6483154296875
1748836692594,-62,25,-1073,24,14,20,24,20,36,44.33086395263672,3.380690813064575,178.6712646484375
1748836692697,-61,24,-1073,25,13,21,24,20,36,44.33086395263672,3.380690813064575,178.6712646484375
1748836692697,-61,24,-1073,25,13,21,24,20,36,44.3316764831543,3.348219871520996,178.6569061279297
1748836692809,-61,24,-1073,26,11,22,24,20,36,44.3316764831543,3.348219871520996,178.6569061279297
1748836692809,-61,24,-1073,26,11,22,24,20,36,44.333099365234375,3.3276607990264893,178.64425659179688
